Major Pipeline Crossing Multiple State Borders (Capacity in MMcfd),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Pipeline,Segment,State From,State To,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
,Florida Gas Trans Co,M3,Mississippi,Alabama,"1,952","1,883","1,883","1,883","1,883","1,883","1,883","1,883","1,883","1,883","1,883","1,883"
,Florida Gas Trans Co,M4,Alabama,Florida,"3,235","3,175","3,175","3,175","3,175","3,175","3,175","3,175","2,224","2,224","2,224","2,224"
,Florida Gas Trans Co,Main Line,Max Capacity,,"3,235","3,175","3,175","3,175","3,175","3,175","3,175","3,175","2,224","2,224","2,224","2,224"
,,,,,,,,,,,,,,,,
,Gas Transmission Northwest,M1,British Columbia,Idaho,"2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741"
,Gas Transmission Northwest,M2,Idaho,Washington,"2,561","2,561","2,561","2,561","2,561","2,561","2,561","2,561","2,561","2,561","2,561","2,561"
,Gas Transmission Northwest,M3,Washington,Oregon,"2,131","2,131","2,131","2,131","2,131","2,131","2,131","2,131","2,131","2,131","2,131","2,131"
,Gas Transmission Northwest,M4,Oregon,California,"2,071","2,071","2,071","2,071","2,071","2,071","2,071","2,071","2,071","2,071","2,071","2,071"
,Gas Transmission Northwest,Main Line,Max Capacity,,"2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741"
,,,,,,,,,,,,,,,,
,Great Lakes Gas Trans Ltd,M1,Manitoba,Minnesota,"2,412","2,412","2,412","2,412","2,412","2,412","2,412","2,412","2,412","2,412","2,412","2,412"
,Great Lakes Gas Trans Ltd,M2,Minnesota,Wisconsin,"2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226"
,Great Lakes Gas Trans Ltd,M3,Wisconsin,Michigan,"2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226"
,Great Lakes Gas Trans Ltd,M4,Michigan,Ontario,"1,799","1,799","1,799","1,799","1,799","1,799","1,799","1,799","1,799","1,799","1,799","1,799"
,Great Lakes Gas Trans Ltd,M4 Back,Ontario,Michigan,"1,482","1,482","1,482","1,482","1,482","1,482","1,482","1,482","1,482","1,482","1,482","1,482"
,Great Lakes Gas Trans Ltd,M3 Back,Michigan,Wisconsin,"2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226"
,Great Lakes Gas Trans Ltd,M2 Back,Wisconsin,Minnesota,"2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226"
,Great Lakes Gas Trans Ltd,M1 Back,Minnesota,Manitoba,713,713,713,713,713,713,713,713,0,0,0,0
,Great Lakes Gas Trans Ltd,Main Line,Max Capacity (Eastward),,"2,412","2,412","2,412","2,412","2,412","2,412","2,412","2,412","2,412","2,412","2,412","2,412"
,Great Lakes Gas Trans Ltd,Main Line,Max Capacity (Westward),,"2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226","2,226"
,,,,,,,,,,,,,,,,
,Gulf Crossing Pipeline,M1,Oklahoma,Texas,"1,726","1,726","1,726","1,726","1,726","1,726","1,726","1,726","1,726","1,726",0,0
,Gulf Crossing Pipeline,M2,Texas,Louisiana,"1,726","1,726","1,726","1,726","1,726","1,726","1,726","1,726","1,726","1,726",0,0
,Gulf Crossing Pipeline,Main Line,Max Capacity,,"1,726","1,726","1,726","1,726","1,726","1,726","1,726","1,726","1,726","1,726",0,0
,,,,,,,,,,,,,,,,
,Gulf South Pipeline Co,M1,Texas,Louisiana,"3,203","3,203","3,203","3,203","3,203","3,203","3,203","3,203","3,203","2,647","2,647",947
,Gulf South Pipeline Co,M2,Louisiana,Mississippi,"3,296","3,296","3,296","3,296","3,296","3,296","3,296","3,296","3,296","2,730","2,730","1,030"
,Gulf South Pipeline Co,M3,Mississippi,Alabama,"2,983","2,983","2,983","2,983","2,983","2,472","2,472","2,472","2,472","2,472","2,472",950
,Gulf South Pipeline Co,M4,Alabama,Florida,190,190,190,190,190,190,190,190,190,190,190,190
,Gulf South Pipeline Co,M3 Back,Alabama,Mississippi,200,200,200,200,200,200,200,200,200,200,200,200
,Gulf South Pipeline Co,M2 Back,Mississippi,Louisiana,310,310,310,310,310,310,310,310,310,310,310,310
,Gulf South Pipeline Co,M1 Back,Louisiana,Texas,20,20,20,20,20,20,20,20,20,20,20,20
,Gulf South Pipeline Co,Gulf South System,Max Capacity,,"3,296","3,296","3,296","3,296","3,296","3,296","3,296","3,296","3,296","2,730","2,730","1,030"
,,,,,,,,,,,,,,,,
,Gulfstream Natural Gas System (via the Gulf of Mexico),M1,Alabama,Florida,"1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,130"
,Gulfstream Natural Gas System (via the Gulf of Mexico),Main Line,Max Capacity,,"1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,130"
,,,,,,,,,,,,,,,,
,Iroquois Pipeline Co,M1,Ontario,New York,"1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150"
,Iroquois Pipeline Co,M2,New York,Connecticut,866,866,866,866,866,866,866,866,866,866,866,773
,Iroquois Pipeline Co,M3,Connecticut,New York,620,620,620,620,620,620,620,620,620,620,520,420
,Iroquois Pipeline Co,Main Line,Max Capacity,,"1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150"
,,,,,,,,,,,,,,,,
,Kern River Gas Trans Co,M1,Wyoming,Utah,"2,276","2,276","2,276","2,276","2,276","2,276","2,276","2,276","2,010","1,865","1,865","1,865"
,Kern River Gas Trans Co,M2,Utah,Nevada,"2,445","2,445","2,445","2,445","2,445","2,445","2,445","2,445","2,179","2,034","2,034","2,034"
