year,Pipeline,Region From,Region To,State From,County From,State To,County To,Capacity (mmcfd),Notes
2018.0,Florida Gas Trans Co,South Central,Intra-regional,Mississippi,Greene,Alabama,Mobile,1952.0,FGT Western Division Project FERC Docket CP17-23
2018.0,Florida Gas Trans Co,South Central,Intra-regional,Texas,Orange,Louisiana,Calcasieu,320.0,
2018.0,Gas Transmission Northwest,Canada,Mountain,British Columbia,Alberta,Idaho,Boundary,2741.0,
2018.0,Gas Transmission Northwest,Mountain,Pacific,Idaho,Kootenai,Washington,Spokane,2561.0,
2018.0,Gas Transmission Northwest,Pacific,Intra-regional,Oregon,Klamath,California,Modoc,2071.0,
2018.0,Gas Transmission Northwest,Pacific,Intra-regional,Washington,Walla Walla,Oregon,Umatilla,2131.0,
2018.0,Gas Transport Inc,Northeast,Intra-regional,West Virginia,Wood,Ohio,Washington,30.0,
2018.0,Golden Pass Pipeline,South Central,Intra-regional,Texas,Orange,Louisiana,Calcasieu,2500.0,
2018.0,Granite State Gas Trans Inc,Northeast,Intra-regional,Maine,York,New Hampshire,Rockingham,31.0,
2018.0,Granite State Gas Trans Inc,Northeast,Intra-regional,Massachusetts,Essex,New Hampshire,Rockingham,31.0,
2018.0,Granite State Gas Trans Inc,Northeast,Intra-regional,New Hampshire,Rockingham,Maine,York,31.0,
2018.0,Granite State Gas Trans Inc,Canada,Northeast,Quebec,Quebec,Vermont,Orleans,0.0,
2018.0,Great Lakes Gas Trans Ltd,Canada,Midwest,Manitoba,Manitoba,Minnesota,Kittson,2412.0,
2018.0,Great Lakes Gas Trans Ltd,Midwest,Canada,Michigan,Chippewa,Ontario,Ontario,317.0,
2018.0,Great Lakes Gas Trans Ltd,Midwest,Canada,Michigan,St. Clair,Ontario,Ontario,1482.0,
2018.0,Great Lakes Gas Trans Ltd,Midwest,Intra-regional,Michigan,Gogebic,Wisconsin,Iron,2226.0,Corrected due to pipeline being bidirectional
